English (Chat-GPT v1),English (Chat-GPT v2),English,Turkish,Swedish,Farsi,Hindi
,,A paper map would have helped before the GPS signal returned.,GPS sinyali geri gelmeden önce bir kağıt harita yardımcı olurdu.,En papperskarta skulle ha hjälpt innan GPS-signalen återvände.,,
,,Closing that deal would have increased his commission.,O anlaşmayı kapatmak komisyonunu artırırdı.,Att slutföra den affären skulle ha ökat hans provision.,,
,,Checking the forecast would have changed our packing list.,Hava durumuna bakmak bavul listemizi değiştirirdi.,Att kolla väderprognosen skulle ha ändrat vår packlista.,,
,,A quick message would have meant cake for everyone.,Hızlı bir mesaj herkes için pasta demek olurdu.,Ett snabbt meddelande hade betytt tårta till alla.,,
,,Fixing the fence earlier would have limited the damage.,"Çiti daha önce tamir etmek, hasarı sınırlamış olurdu.",Att laga staketet tidigare skulle ha begränsat skadan.,,
,,A bigger breakfast would have helped during the long drive.,Uzun yolculuk sırasında daha büyük bir kahvaltı yardımcı olurdu.,En större frukost skulle ha hjälpt under den långa bilresan.,,
,,Staying up longer might have revealed the northern lights.,"Daha uzun süre uyanık kalsaydık, kuzey ışıkları ortaya çıkmış olabilirdi.",Att stanna uppe längre hade kanske avslöjat norrskenet.,,
,,Formal clothes would have suited the dinner much better.,Resmi kıyafetler akşam yemeğine çok daha iyi yakışırdı.,Formella kläder skulle ha passat middagen mycket bättre.,,
,,"Fame was possible, but she chose a quiet life.","Şöhret mümkündü, ama o sakin bir hayat seçti.","Berömmelse var möjlig, men hon valde ett lugnt liv.",,
,,Asking for the recipe would have been a smart idea.,Tarifi sormak akıllıca bir fikir olurdu.,Att fråga efter receptet hade varit en smart idé.,,
,,Booking ahead would have reduced the total cost.,Önceden rezervasyon yapmak toplam maliyeti düşürürdü.,Att boka i förväg hade minskat den totala kostnaden.,,
,,An oil check could have avoided the engine trouble.,Bir yağ kontrolü motor arızasını önleyebilirdi.,En oljekontroll kunde ha undvikit motorproblemet.,,
,,"The gallery was an option, but we chose the park.","Galeri bir seçenekti, ancak parkı seçtik.","Galleriet var ett alternativ, men vi valde parken.",,
,,Patience would have made the long wait much easier.,"Sabır, uzun bekleyişi çok daha kolaylaştırırdı.",Tålamod skulle ha gjort den långa väntan mycket enklare.,,
,,Using proper tools would have saved us much effort.,Uygun araçları kullanmak bizi büyük bir zahmetten kurtarırdı.,Att använda rätt verktyg hade sparat oss mycket möda.,,
,,Following the map would have prevented getting lost.,"Haritayı takip etmek, kaybolmayı önlemiş olurdu.",Att följa kartan skulle ha förhindrat att man gick vilse.,,
,,Moving to green energy helps protect the air we breathe.,"Yeşil enerjiye geçmek, soluduğumuz havayı korumaya yardımcı olur.",Att gå över till grön energi hjälper till att skydda luften vi andas.,,
,,City pollution often gets worse during hot summers.,Şehir kirliliği genellikle sıcak yaz aylarında kötüleşir.,Stadsföroreningar blir ofta värre under varma somrar.,,
,,We must protect wild areas to keep nature balanced.,Doğanın dengesini korumak için yaban alanlarını korumalıyız.,Vi måste skydda vildområden för att hålla naturen i balans.,,
,,Does coal still play a major role in global energy?,Kömür hala küresel enerjide önemli bir rol oynuyor mu?,Spelar kol fortfarande en betydande roll i den globala energiförsörjningen?,,
,,Using solar power can lower your monthly energy bills.,"Güneş enerjisi kullanmak, aylık enerji faturalarınızı düşürebilir.",Att använda solenergi kan sänka dina månatliga energiräkningar.,,
,,Cutting down rainforests destroys many unique animal species.,Yağmur ormanlarının kesilmesi birçok eşsiz hayvan türünü yok eder.,Avverkning av regnskogar förstör många unika djurarter.,,
,,We should use fewer plastic products to keep parks clean.,Parkları temiz tutmak için daha az plastik ürün kullanmalıyız.,Vi bör använda färre plastprodukter för att hålla parker rena.,,
,,Many farmers find that organic farming improves soil quality.,"Birçok çiftçi, organik tarımın toprak kalitesini iyileştirdiğini görüyor.",Många lantbrukare finner att ekologiskt jordbruk förbättrar jordkvaliteten.,,
,,Warmer oceans are currently harming the coral reefs.,Daha sıcak okyanuslar şu anda mercan resiflerine zarar vermektedir.,Varmare hav skadar för närvarande korallreven.,,
,,Protecting habitats is key to saving endangered species.,"Habitatları korumak, nesli tükenmekte olan türleri kurtarmanın anahtarıdır.",Att skydda livsmiljöer är avgörande för att rädda hotade arter.,,
,,How can we reduce the carbon we release each day?,Her gün saldığımız karbonu nasıl azaltabiliriz?,Hur kan vi minska våra koldioxidutsläpp varje dag?,,
,,The drought caused the lake to shrink significantly.,Kuraklık gölün önemli ölçüde küçülmesine neden oldu.,Torkan orsakade att sjön krympte betydligt.,,
,,Public transport helps reduce our personal carbon emissions.,"Toplu taşıma, kişisel karbon emisyonlarımızı azaltmaya yardımcı olur.",Kollektivtrafik hjälper till att minska våra personliga koldioxidutsläpp.,,
,,Birds migrate differently because winters are now warmer.,Kuşlar farklı göç ediyorlar çünkü kışlar artık daha sıcak.,Fåglar migrerar annorlunda eftersom vintrarna nu är varmare.,,
,,We should support companies that use cleaner methods.,Daha temiz yöntemler kullanan şirketleri desteklemeliyiz.,Vi bör stötta företag som använder renare metoder.,,
,,A large cleanup removed plastic waste from the beach.,Büyük bir temizlik sahildeki plastik atıkları kaldırdı.,En stor städinsats tog bort plastavfall från stranden.,,
,,Melting glaciers show that the planet is warming.,Eriyen buzullar gezegenin ısındığını gösteriyor.,Smältande glaciärer visar att planeten blir varmare.,,
,,Does air quality improve when traffic levels are lower?,Trafik yoğunluğu azaldığında hava kalitesi iyileşir mi?,Förbättras luftkvaliteten när trafiknivåerna är lägre?,,
,,Planting different flowers helps the local bees survive.,"Farklı çiçekler dikmek, yerel arıların hayatta kalmasına yardımcı olur.",Att plantera olika blommor hjälper de lokala bina att överleva.,,
,,We should invest much more in wind energy.,Rüzgar enerjisine çok daha fazla yatırım yapmalıyız.,Vi borde investera mycket mer i vindkraft.,,
,,River flooding damaged the nearby village last night.,Nehir taşkını dün gece yakındaki köye hasar verdi.,Flodöversvämningen skadade den närliggande byn igår kväll.,,
,,Recycling electronics keeps toxic waste out of the soil.,Elektronik geri dönüşümü zehirli atıkların toprağa karışmasını önler.,Återvinning av elektronik håller giftigt avfall borta från jorden.,,
,,Is a zero-waste lifestyle realistic in a big city?,Büyük bir şehirde sıfır atık yaşam tarzı gerçekçi mi?,Är en nollavfallslivsstil realistisk i en storstad?,,
,,Heavy smog made breathing difficult in the valley.,Yoğun sis vadide nefes almayı zorlaştırdı.,Tung smog gjorde andningen svår i dalen.,,
,,The central bank may raise interest rates very soon.,Merkez bankası çok yakında faiz oranlarını artırabilir.,Centralbanken kan höja räntorna mycket snart.,,
,,High taxes can make it hard for businesses to grow.,Yüksek vergiler işletmelerin büyümesini zorlaştırabilir.,Höga skatter kan försvåra för företag att växa.,,
,,Government funding is shifting toward various green projects.,Hükümet finansmanı çeşitli yeşil projelere kayıyor.,Statlig finansiering skiftar mot olika gröna projekt.,,
,,The housing crash affected millions of families.,Konut çöküşü milyonlarca aileyi etkiledi.,Bostadskraschen påverkade miljontals familjer.,,
,,We need to narrow the gap between cities and rural areas.,Şehirler ve kırsal alanlar arasındaki uçurumu daraltmamız gerekiyor.,Vi måste minska klyftan mellan städer och landsbygd.,,
,,The new trade deal should make exports much easier.,Yeni ticaret anlaşması ihracatı çok daha kolaylaştırmalı.,Det nya handelsavtalet bör göra exporten mycket enklare.,,
,,Spending on infrastructure supports long-term economic growth.,Altyapı harcamaları uzun vadeli ekonomik büyümeyi destekler.,Investeringar i infrastruktur stöder långsiktig ekonomisk tillväxt.,,
,,Has the government planned to help young people find work?,Hükümet gençlerin iş bulmasına yardım etmeyi planladı mı?,Har regeringen planerat att hjälpa ungdomar hitta arbete?,,
,,Digital money could change how we think about privacy.,"Dijital para, gizliliğe dair düşünme şeklimizi değiştirebilir.",Digitala pengar skulle kunna förändra hur vi tänker kring integritet.,,
,,A stable economy needs both rules and freedom.,İstikrarlı bir ekonomi hem kurallara hem de özgürlüğe ihtiyaç duyar.,En stabil ekonomi behöver både regler och frihet.,,
,,The budget gap now requires urgent financial action.,Bütçe açığı artık acil mali eylem gerektiriyor.,Budgetgapet kräver nu akuta finansiella åtgärder.,,
,,How do trade conflicts affect global food prices?,Ticaret çatışmaları küresel gıda fiyatlarını nasıl etkiler?,Hur påverkar handelskonflikter globala matpriser?,,
,,Poor transparency damaged public trust in the organization.,"Yetersiz şeffaflık, halkın kuruluşa olan güvenini zedeledi.",Bristande transparens skadade allmänhetens förtroende för organisationen.,,
,,Do current labor laws protect temporary gig workers?,Mevcut iş kanunları geçici serbest çalışanları koruyor mu?,Skyddar nuvarande arbetslagar tillfälliga gig-arbetare?,,
,,Rising living costs worry many voters this year.,Bu yıl artan yaşam maliyetleri birçok seçmeni endişelendiriyor.,Stigande levnadskostnader oroar många väljare i år.,,
,,Education investment prepares people for future jobs.,Eğitim yatırımı insanları gelecekteki işlere hazırlar.,Utbildningsinvesteringar förbereder människor för framtida jobb.,,
,,Privatizing public services is a topic still debated today.,"Kamu hizmetlerinin özelleştirilmesi, bugün hâlâ tartışılan bir konudur.",Privatisering av offentliga tjänster är ett ämne som fortfarande debatteras idag.,,
,,Is enough being done to help people in poverty?,Yoksul insanlara yardım etmek için yeterince şey yapılıyor mu?,Görs det tillräckligt för att hjälpa människor i fattigdom?,,
,,We should choose products that break down naturally.,Doğal olarak parçalanan ürünleri seçmeliyiz.,Vi bör välja produkter som bryts ner naturligt.,,
,,Restored wetlands attracted many rare birds this year.,İyileştirilen sulak alanlar bu yıl birçok nadir kuşu kendine çekti.,Återställda våtmarker lockade många sällsynta fåglar i år.,,
,,How does more carbon affect global plant growth?,Daha fazla karbon küresel bitki büyümesini nasıl etkiler?,Hur påverkar mer kol global växttillväxt?,,
,,Air-drying your clothes saves a lot of electricity.,"Çamaşırlarınızı açık havada kurutmak, çok elektrik tasarrufu sağlar.",Att lufttorka dina kläder sparar mycket el.,,
,,Sudden weather changes caught the hikers unprepared.,Ani hava değişiklikleri yürüyüşçüleri hazırlıksız yakaladı.,Plötsliga väderförändringar överraskade vandrarna oförberedda.,,
,,Children should learn to respect all living things.,Çocuklar tüm canlılara saygı duymayı öğrenmeli.,Barn bör lära sig att respektera allt levande.,,
,,Does organic food cost too much for most people?,Organik gıdalar çoğu insan için çok mu pahalı?,Kostar ekologisk mat för mycket för de flesta?,,
,,Protecting the planet matters for all future generations.,"Gezegeni korumak, tüm gelecek nesiller için önemlidir.",Att skydda planeten är viktigt för alla framtida generationer.,,
,,We may be moving a bit too fast right now.,Şu anda biraz fazla hızlı ilerliyor olabiliriz.,Vi kanske går lite för fort just nu.,,
,,I am not sure the budget supports this expansion.,Bütçenin bu genişlemeyi destekleyip desteklemediğinden emin değilim.,Jag är inte säker på att budgeten stöder denna expansion.,,
,,There seems to be some confusion regarding the deadline.,Görünüşe göre son teslim tarihi konusunda bir karışıklık var.,Det verkar råda en viss förvirring angående deadline.,,
,,Maybe we should rethink the current marketing plan.,Belki de mevcut pazarlama planını tekrar gözden geçirmeliyiz.,Vi kanske borde tänka om den nuvarande marknadsplanen.,,
,,Some of the data does not match the final report.,Bazı veriler nihai raporla eşleşmiyor.,En del av uppgifterna stämmer inte överens med den slutgiltiga rapporten.,,
,,This new approach might worry some of our long-term clients.,"Bu yeni yaklaşım, uzun vadeli müşterilerimizden bazılarını endişelendirebilir.",Detta nya tillvägagångssätt kan oroa några av våra långsiktiga kunder.,,
,,Let us look at the issue from another angle first.,Önce konuya başka bir açıdan bakalım.,Låt oss titta på frågan från en annan synvinkel först.,,
,,This may not be the best use of our resources.,"Bu, kaynaklarımızın en iyi kullanımı olmayabilir.",Det här kanske inte är den bästa användningen av våra resurser.,,
,,We might be missing some important risks in this plan.,Bu planda bazı önemli riskleri gözden kaçırıyor olabiliriz.,Vi kanske missar några viktiga risker i den här planen.,,
,,Should we explore other options before making a final decision?,Son bir karar vermeden önce başka seçenekleri değerlendirmeli miyiz?,Ska vi utforska andra alternativ innan vi fattar ett slutgiltigt beslut?,,
,,I am feeling a bit uneasy about the recent team changes.,Son takım değişiklikleri konusunda biraz tedirginim.,Jag känner mig lite orolig över de senaste lagförändringarna.,,
,,We may need more input from the technical team today.,Bugün teknik ekipten daha fazla girdi almamız gerekebilir.,Vi kan behöva mer input från teknikteamet idag.,,
,,The weather could turn bad later this afternoon.,Hava bu öğleden sonra kötüleşebilir.,Vädret kan bli dåligt senare i eftermiddag.,,
,,Did we underestimate the total drive time to the city?,Şehre olan toplam sürüş süresini hafife mi aldık?,Har vi underskattat den totala körtiden till staden?,,
,,I am not entirely convinced that this diet is healthy.,Bu diyetin sağlıklı olduğuna tamamen ikna olmuş değilim.,Jag är inte helt övertygad om att den här dieten är hälsosam.,,
,,We may have forgotten an important bag at the hotel.,Otelde önemli bir çanta unutmuş olabiliriz.,Vi kanske har glömt en viktig väska på hotellet.,,
,,We might be taking on too much work at once.,Aynı anda çok fazla iş üstleniyor olabiliriz.,Vi kanske tar på oss för mycket arbete på en gång.,,
,,Maybe we should rethink our summer vacation plans.,Belki yaz tatili planlarımızı yeniden düşünmeliyiz.,Kanske vi borde ompröva våra sommarsemesterplaner.,,
,,Opinions on the new movie seem to be quite divided.,Yeni film hakkındaki görüşler oldukça bölünmüş görünüyor.,Åsikterna om den nya filmen verkar vara ganska delade.,,
,,I do not quite see why moving cities helps us.,Şehir değiştirmemizin bize neden fayda sağladığını tam olarak anlamıyorum.,Jag ser inte riktigt varför det hjälper oss att flytta till en annan stad.,,
,,An expert opinion could be very useful for this project.,Bu proje için bir uzman görüşü çok faydalı olabilir.,Ett expertutlåtande skulle kunna vara mycket användbart för det här projektet.,,
,,I am still unsure if this house truly suits us.,Hala bu evin bize gerçekten uygun olup olmadığından emin değilim.,Jag är fortfarande osäker om det här huset verkligen passar oss.,,
,,Are we worrying too much about things we cannot control?,Kontrol edemediğimiz şeyler hakkında çok mu endişeleniyoruz?,Oroar vi oss för mycket över saker vi inte kan kontrollera?,,
,,I do not fully understand the reaction to the change.,Değişime verilen tepkiyi tam olarak anlamıyorum.,Jag förstår inte fullt ut reaktionen på förändringen.,,
,,We may be moving too fast in this new relationship.,Bu yeni ilişkide çok hızlı ilerliyor olabiliriz.,Vi kanske går för fort fram i det här nya förhållandet.,,
,,There might be a cheaper solution to our current problem.,Mevcut sorunumuza daha ucuz bir çözüm olabilir.,Det kan finnas en billigare lösning på vårt nuvarande problem.,,
,,Not everyone seems comfortable with the current arrangement.,Herkes mevcut düzenlemeden rahat görünmüyor.,Alla verkar inte vara bekväma med den nuvarande ordningen.,,
,,The discussion has drifted off the main topic.,Tartışma ana konudan saptı.,Diskussionen har glidit bort från huvudämnet.,,
,,Maybe it is better to raise this issue later on.,Belki bu konuyu daha sonra gündeme getirmek daha iyi olur.,Kanske är det bättre att ta upp den här frågan senare.,,
,,I am unsure if this is the right launch time.,"Bu doğru fırlatma zamanı mı, emin değilim.",Jag är osäker om detta är rätt lanseringstid.,,
,,It feels too early to sign the final contract today.,Bugün nihai sözleşmeyi imzalamak için çok erken gibi geliyor.,Det känns för tidigt att skriva på det slutgiltiga kontraktet idag.,,
,,We may not have covered security concerns fully yet.,Güvenlik endişelerini henüz tam olarak ele almamış olabiliriz.,Vi kanske inte har täckt säkerhetsfrågorna fullt ut ännu.,,
,,The proposal could use some fine-tuning before the presentation.,Teklifin sunumdan önce biraz ince ayara ihtiyacı olabilir.,Förslaget skulle behöva lite finjustering innan presentationen.,,
,,There seems to be a scheduling conflict for next Tuesday.,Gelecek Salı için bir program çakışması var gibi görünüyor.,Det verkar vara en schemaläggningskonflikt för nästa tisdag.,,
,,I am not sure the return is worth the cost.,Getirinin maliyete değip değmeyeceğinden emin değilim.,Jag är inte säker på att avkastningen är värd kostnaden.,,
,,We are reacting to problems instead of planning ahead.,İleriye dönük planlama yapmak yerine sorunlara tepki veriyoruz.,Vi reagerar på problem istället för att planera framåt.,,
,,Could we simplify the process to save more time?,Süreci daha fazla zaman kazanmak için basitleştirebilir miyiz?,Skulle vi kunna förenkla processen för att spara mer tid?,,
,,Our competitors seem to be going in another direction.,Rakiplerimiz başka bir yöne gidiyor gibi görünüyor.,Våra konkurrenter verkar gå i en annan riktning.,,
,,The plan may not allow for potential delivery delays.,"Plan, olası teslimat gecikmelerini hesaba katmayabilir.",Planen kanske inte tar höjd för potentiella leveransförseningar.,,
,,We should ask the lead engineer for his professional input.,Baş mühendisten profesyonel görüşünü istemeliyiz.,Vi borde be den ledande ingenjören om hans professionella synpunkter.,,
,,Only after clearing the room did we notice the storage.,Odayı temizledikten sonra ancak depoyu fark ettik.,Först efter att vi hade röjt rummet märkte vi förrådet.,,
,,Not until I checked the receipt did the charge stand out.,Ancak makbuzu kontrol ettikten sonra ücret göze çarptı.,Inte förrän jag kollade kvittot stack avgiften ut.,,
,,"When the doors closed, he realized it was the wrong train.","Kapılar kapandığında, yanlış tren olduğunu fark etti.","När dörrarna stängdes, insåg han att det var fel tåg.",,
,,She had never cooked for that many people before.,Daha önce hiç o kadar çok kişiye yemek yapmamıştı.,Hon hade aldrig lagat mat åt så många personer tidigare.,,
,,We had barely sat down when the waiter brought the bill.,Daha oturmamıştık ki garson hesabı getirdi.,Vi hade knappt satt oss när servitören kom med notan.,,
,,Restarting the router was what finally fixed the internet connection.,İnternet bağlantısını sonunda düzelten şey modemi yeniden başlatmak oldu.,Att starta om routern var det som äntligen åtgärdade internetanslutningen.,,
,,"Cafés like this are rare, especially those open late.","Bunun gibi kafeler nadirdir, özellikle de geç saatlere kadar açık olanlar.","Kaféer som det här är sällsynta, särskilt de som har öppet sent.",,
,,The missing document came up only after the meeting ended.,Kayıp belge ancak toplantı sona erdikten sonra ortaya çıktı.,Det saknade dokumentet kom fram först efter att mötet hade slutat.,,
,,Backing up the files first made the update feel safe.,"Dosyaları önce yedeklemek, güncellemenin güvenli olduğunu hissettirdi.",Att säkerhetskopiera filerna först gjorde att uppdateringen kändes säker.,,
,,I have never waited this long for a home delivery.,Eve teslimat için bu kadar uzun süre hiç beklememiştim.,Jag har aldrig väntat så här länge på en hemleverans.,,
,,The movie had just started when the fire alarm rang.,Film tam başlamıştı ki yangın alarmı çaldı.,Filmen hade precis börjat när brandlarmet ringde.,,
,,The room was not ready even after the guests arrived.,Misafirler geldikten sonra bile oda hazır değildi.,Rummet var inte klart ens efter att gästerna anlänt.,,
,,At no point did he consider leaving his phone behind.,Telefonunu geride bırakmayı hiçbir zaman düşünmedi.,Han övervägde aldrig att lämna sin telefon kvar.,,
,,Trying both routes showed us which one was faster.,Her iki yolu da denemek bize hangisinin daha hızlı olduğunu gösterdi.,Att prova båda vägarna visade oss vilken som var snabbare.,,
,,Packages almost never arrive ahead of the scheduled time.,Paketler neredeyse hiçbir zaman planlanan zamandan önce gelmez.,Paket anländer nästan aldrig före tidsplanen.,,
,,She had just parked when the rain started pouring down.,Daha yeni park etmişti ki yağmur bardaktan boşanırcasına yağmaya başladı.,Hon hade precis parkerat när regnet började ösa ner.,,
,,The invoice was the thing that revealed the mistake.,"Fatura, hatayı ortaya çıkaran şeydi.",Fakturan var det som avslöjade misstaget.,,
,,The shop has never been this crowded on a weekday.,Mağaza bir hafta içi hiç bu kadar kalabalık olmamıştı.,Butiken har aldrig varit så här fullt en vardag.,,
,,Only after turning the key did I realize the mistake.,Anahtarı çevirdikten sonra ancak hatanın farkına vardım.,Först efter att jag vridit om nyckeln insåg jag misstaget.,,
,,The hype only made sense after tasting the dish.,"Abartı, ancak yemeği tattıktan sonra anlam kazandı.",Hajpen gav bara mening efter att ha smakat rätten.,,
,,The printer jammed just as it finished warming up.,"Yazıcı, ısınmayı tam bitirdiği anda sıkıştı.",Skrivaren fastnade precis när den värmt klart.,,
,,He only looked for the charger once the battery died.,Pil bitince ancak şarj aletini aradı.,Han letade först efter laddaren när batteriet dog.,,
,,Projects rarely finish without some last-minute changes.,"Projeler, bazı son dakika değişiklikleri olmadan nadiren tamamlanır.",Projekt blir sällan klara utan några ändringar i sista minuten.,,
,,They did not wake up until the alarm went off.,Alarm çalana kadar uyanmadılar.,De vaknade inte förrän larmet gick.,,
,,The appointment slipped our minds until we checked the calendar.,Takvimi kontrol edene kadar randevuyu unutmuştuk.,Mötet föll oss ur minnet tills vi kollade kalendern.,,
,,I have never seen luggage disappear that fast.,Hiç bu kadar hızlı kaybolan bir bagaj görmedim.,Jag har aldrig sett bagage försvinna så snabbt.,,
,,The email arrived moments after the phone call ended.,Telefon görüşmesi sona erdikten hemen sonra e-posta geldi.,Mejlet kom strax efter att telefonsamtalet hade avslutats.,,
,,Closing the window was all it took to stop noise.,Gürültüyü kesmek için sadece pencereyi kapatmak yetti.,Att stänga fönstret var allt som krävdes för att stoppa bullret.,,
,,She did not feel nervous until the test actually began.,Sınav fiilen başlayana kadar kendini gergin hissetmedi.,Hon kände sig inte nervös förrän provet faktiskt började.,,
,,Public transport almost never runs exactly on time.,Toplu taşıma neredeyse hiç tam zamanında çalışmaz.,Kollektivtrafik går nästan aldrig exakt i tid.,,
,,Reviewing the footage made the error quite obvious.,"Görüntüleri incelemek, hatayı oldukça bariz hale getirdi.",Granskningen av filmmaterialet gjorde felet ganska uppenbart.,,
,,The kitchen had never looked this clean before.,Mutfak daha önce hiç bu kadar temiz görünmemişti.,Köket hade aldrig sett ut så rent förut.,,
,,We had barely left when we had to turn back.,Daha yeni ayrılmıştık ki geri dönmek zorunda kaldık.,Vi hade knappt hunnit åka när vi var tvungna att vända om.,,
,,The problem showed up only once the ticket was scanned.,"Sorun, bilet tarandıktan sonra ortaya çıktı.",Problemet uppstod först när biljetten skannades.,,
,,The storm was not obvious until the lights went out.,"Fırtına, ışıklar sönünceye kadar belirgin değildi.",Stormen var inte uppenbar förrän lamporna slocknade.,,
,,Discounts rarely apply to the items you want most.,İndirimler en çok istediğiniz ürünlere nadiren uygulanır.,Rabatter gäller sällan för de varor du vill ha mest.,,
,,"After the repair, the machine finally ran smoothly.",Tamirden sonra makine nihayet sorunsuz çalıştı.,Efter reparationen gick maskinen äntligen smidigt.,,
,,The mobile app had never crashed so badly before.,Mobil uygulama daha önce hiç bu kadar kötü çökmemişti.,Mobilappen hade aldrig kraschat så illa förut.,,
,,They realized the mistake as soon as the food arrived.,Yemek gelir gelmez hatayı fark ettiler.,De insåg misstaget så fort maten kom.,,
,,"Once the deadline passed, the pressure dropped significantly.","Son tarih geçtikten sonra, baskı önemli ölçüde düştü.","När tidsfristen passerats, sjönk trycket markant.",,
,,The adapter was the thing we forgot after packing.,"Adaptör, paketledikten sonra unuttuğumuz şeydi.",Adaptern var det vi glömde efter packningen.,,
,,Only after the receipt printed did the extra charge appear.,Ancak makbuz basıldıktan sonra ek ücret ortaya çıktı.,Först efter att kvittot skrevs ut visades den extra avgiften.,,
,,Not until the door closed did she realize the error.,Kapı kapanana kadar hatayı fark etmedi.,Inte förrän dörren stängdes insåg hon misstaget.,,
,,Rarely does a package arrive exactly on the delivery date.,Nadiren bir paket teslimat tarihinde tam olarak ulaşır.,Sällan anländer ett paket exakt på leveransdagen.,,
,,It was the missing attachment that delayed the reply.,Yanıtı geciktiren eksik ekti.,Det var den saknade bilagan som försenade svaret.,,
,,Hardly had the lights gone out when the generator started.,Daha ışıklar sönmemişti ki jeneratör çalışmaya başladı.,Knappt hade lamporna slocknat förrän generatorn startade.,,
,,The queue moved faster once another register opened.,Başka bir kasa açılınca kuyruk daha hızlı ilerledi.,Kön rörde sig snabbare när en annan kassa öppnade.,,
,,Only after tasting the sauce did the dish make sense.,Ancak sosu tattıktan sonra yemek anlam kazandı.,Först efter att ha smakat såsen gav rätten mening.,,
,,At no point did the instructions mention an extra fee.,Talimatlarda hiçbir noktada ek bir ücretten bahsedilmedi.,Instruktionerna nämnde inte någon extra avgift vid något tillfälle.,,
,,The trip felt longer because the last bus was cancelled.,Yolculuk daha uzun geldi çünkü son otobüs iptal edildi.,Resan kändes längre eftersom den sista bussen ställdes in.,,
,,It was the cracked screen that finally convinced him to upgrade.,Onu sonunda yükseltmeye ikna eden çatlak ekrandı.,Det var den spruckna skärmen som till slut övertygade honom att uppgradera.,,
,,Not until the ticket was scanned did the error show up.,Bilet okutulana kadar hata ortaya çıkmadı.,Först när biljetten skannades visade felet sig.,,
,,The café filled up quickly once the rain started.,Yağmur başlayınca kafe hızla doldu.,Kaféet fylldes snabbt så fort regnet började.,,
,,What slowed everything down was a single missing form.,Her şeyi yavaşlatan tek bir eksik formdu.,Det som fördröjde allt var ett enda saknat formulär.,,
,,The shortcut saved time but confused the first-time visitors.,Kısayol zaman kazandırdı ama ilk kez gelen ziyaretçilerin kafasını karıştırdı.,Genvägen sparade tid men förvirrade förstagångsbesökarna.,,
,,Only after checking the label did she notice the allergen.,Ancak etiketi kontrol ettikten sonra alerjeni fark etti.,Först efter att ha kontrollerat etiketten märkte hon allergenet.,,
,,Rarely do meetings end early on Monday mornings.,Pazartesi sabahları toplantılar nadiren erken biter.,Sällan slutar möten tidigt på måndagsmorgnar.,,
,,It was a loose cable that caused the sound failure.,Ses arızasına neden olan gevşek bir kabloydu.,Det var en lös kabel som orsakade ljudfelet.,,
,,The delay made sense once the weather report arrived.,Hava durumu raporu geldiğinde gecikme mantıklı hale geldi.,Förseningen gav mening när väderrapporten kom.,,
,,What made the repair easier was having the right tool.,"Tamiri kolaylaştıran, doğru aletin olmasıydı.",Det som gjorde reparationen lättare var att ha rätt verktyg.,,
,,Not until the shelves were empty did the shortage appear.,Raflar boşalana kadar kıtlık baş göstermedi.,Inte förrän hyllorna var tomma uppstod bristen.,,
,,The noise stopped as soon as the window was shut.,Pencere kapatılır kapatılmaz gürültü kesildi.,Ljudet upphörde så fort fönstret stängdes.,,
,,It was the wrong address that sent the driver off.,Sürücüyü yola çıkaran yanlış adresti.,Det var fel adress som ledde föraren fel.,,
,,Only after comparing prices did the deal seem fair.,Fiyatları karşılaştırdıktan sonra ancak anlaşma adil göründü.,Först efter att ha jämfört priser verkade affären rättvis.,,
,,The room felt colder once the heater switched off.,Isıtıcı kapanınca oda daha soğuk geldi.,Rummet kändes kallare när elementet stängdes av.,,
,,What helped most was writing the steps down clearly.,"En çok yardımcı olan şey, adımları net bir şekilde yazmaktı.",Det som hjälpte mest var att skriva ner stegen tydligt.,,
,,Rarely does public transport line up perfectly for travelers.,"Toplu taşıma, yolcular için nadiren mükemmel bir şekilde denk gelir.",Sällan passar kollektivtrafiken perfekt för resenärer.,,
,,"The mistake was minor, but it slowed things down.","Hata küçüktü, ama işleri yavaşlattı.","Misstaget var litet, men det drog ner på tempot.",,
,,It was a missed call that explained the silence.,Sessizliği açıklayan cevapsız bir aramaydı.,Det var ett missat samtal som förklarade tystnaden.,,
,,Only when the app updated did the bug disappear.,"Hata, ancak uygulama güncellendiğinde ortadan kalktı.",Först när appen uppdaterades försvann buggen.,,
,,The walk took longer because the path was closed.,Yürüyüş patika kapalı olduğu için daha uzun sürdü.,Promenaden tog längre tid eftersom vägen var avstängd.,,
,,What caused the confusion was the unclear wording used.,Kullanılan belirsiz ifade kafa karışıklığına neden oldu.,Det som orsakade förvirringen var den oklara formuleringen som användes.,,
,,Not until the clock rang did anyone look up.,Saat çalana kadar kimse başını kaldırmadı.,Inte förrän klockan ringde tittade någon upp.,,
,,The problem surfaced once the system restarted itself.,"Sorun, sistem kendini yeniden başlattıktan sonra ortaya çıktı.",Problemet uppstod när systemet startade om.,,
,,It was a simple typo that broke the website link.,Web sitesi bağlantısını bozan basit bir yazım hatasıydı.,Det var ett enkelt skrivfel som bröt webbplatslänken.,,
,,Only after the call ended did the message arrive.,Çağrı sona erdikten sonra ancak mesaj geldi.,Först efter att samtalet avslutats kom meddelandet.,,
,,The box was light because it was half empty.,Kutu hafifti çünkü yarısı boştu.,Lådan var lätt eftersom den var halvtom.,,
